user_id,fname,lname,religion,address,province,postal_code,identification_number,passport_number,mobile_number,nationality,sex,birthdate,email,username,password,user_type
20,Udom,Janjarassuk,Buddhist,161/115 Soi Supatpong 1Srinakarin Road Khet Pravate ,Bangkok,10250,1189789789878,\N,0849845684,Thai,Male,1975-11-28,6abd.boodh@ampasinc.com,Udom_1,c2345c234,Doctor
21,Sunpasit,Limnararat,Buddhist,496/111-112 Sathupradit Road Bangpongpang 2 ,Bangkok,10120,1178454668464,\N,0915165523,Thai,Male,1978-05-13,2dawid.d.exn@lttmobile.com,pikachu_555,qw2345423t,Doctor
22,Tanawan,Pinnarat,Buddhist,Two Pacific Place Sukhumvit Rd Khwang Khlong Toei Khet Khlong Toei ,Bangkok,10110,\N,R59156464,0846161123,English,Male,1985-05-01,vdaniel.nascimen@nhmicrosoft.com,sunny_1234,qw3y6gq2t4,Pharmacist
23,Merlin,Abrahams,Buddhist,275/21 Sathupradit Road Chongnonsi ,Bangkok,10120,1156788907899,\N,0849854165,Thai,Female,2013-11-18,3danielsatim2@devist.com,merlin_theGreatWitch,qt4w233t4y,Patient
24,Songlod,Sae-Ueng,Buddhist,999 Samsen Road Dusit 2 ,Bangkok,10300,1167856764574,\N,0899592142,Thai,Male,1981-12-18,sjoana.vasconcelk@aktoyota.com,sobngef2,5i967rt5hjy,Pharmacist
25,Arthit,Petchsasithon,Buddhist,"23rd Floor Capital Tower All Seasons Place, 87/1 Wireless Road 2 ",Bangkok,10330,1164538999765,\N,0894595595,Thai,Male,2000-02-03,xbadralex55l@bizimalem-support.de,Arthit_intania24,q2gt42t4,Patient
26,Chodchanok,Attapong,Buddhist,48/270 1 Ramkamhaeng Saparnsoong 2 ,Bangkok,10240,1125456065416,\N,0945894651,Thai,Female,1999-10-19,oayoub-gozarb@aprilmovo.com,chodddd,whu6334,Patient
27,Nitjaree,Satayarak,Buddhist,566/124 Sathuprodit rd.,Bangkok,10120,1132265464644,\N,0999999999,Thai,Female,1969-09-14,dkimoana3285@europeanestate.com,nijjyy,y35345hy,Doctor
28,Monchanok,Srisuakam,Buddhist,20 Bubhajit Building 7Th-9Th Floor North Sathorn Road,Bangkok,10700,1100651684681,\N,0888888888,Thai,Male,1998-06-16,jmghizelen5@gmailvn.net,MOnnnyy,35y3ty43t,Patient
29,Paramote,Wardkein,Buddhist,11/2885. 59 Boromratchachonni 4 Bangbamru 2 ,Bangkok,10700,1189789646646,\N,0987451561,Thai,Male,2011-11-11,7abraheemali19@aprilmovo.com,omooojung,23fr4233,Patient
30,Suchatvee,Suwansawat,Buddhist,"10th Floor Thosapol Land Building, 230 Ratchadapisek Road 2 ",Bangkok,10310,1189749874898,\N,0997894646,Thai,Male,1975-01-09,9ayoub-rugby00@mangohik.xyz,sucha_vy,hyrt5gtff,Doctor
